アイスランド,Iceland
アイルランド,Ireland
アゼルバイジャン,Azerbaijan
アフガニスタン,Afghanistan
アメリカ合衆国,UnitedStates
アラブ首長国連邦,UnitedArabEmirates
アルジェリア,Algeria
アルゼンチン,Argentina
アルバニア,Albania
アルメニア,Armenia
アンゴラ,Angola
アンティグア・バーブーダ,AntiguaandBarbuda
アンドラ,Andorra
イエメン,Yemen
イギリス,UnitedKingdom
イスラエル,Israel
イタリア,Italy
イラク,Iraq
イラン,IslamicRepublicofIran
インド,India
インドネシア,Indonesia
ウガンダ,Uganda
ウクライナ,Ukraine
ウズベキスタン,Uzbekistan
ウルグアイ,Uruguay
エクアドル,Ecuador
エジプト,Egypt
エストニア,Estonia
エチオピア,Ethiopia
エリトリア,Eritrea
エルサルバドル,ElSalvador
オーストラリア,Australia
オーストリア,Austria
オマーン,Oman
オランダ,Netherlands
オランダ領アンティル,NetherlandsAntilles
ガーナ,Ghana
カーボベルデ,CapeVerde
ガイアナ,Guyana
カザフスタン,Kazakhstan
カタール,Qatar
カナダ,Canada
ガボン,Gabon
カメルーン,Cameroon
ガンビア,Gambia
カンボジア,Cambodia
ギニア,Guinea
ギニアビサウ,Guinea-Bissau
キプロス,Cyprus
キューバ,Cuba
ギリシャ,Greece
キリバス,Kiribati
キルギス,Kyrgyzstan
グアテマラ,Guatemala
クウェート,Kuwait
グリーンランド,Greenland
グルジア,Georgia
グレナダ,Grenada
クロアチア,Croatia
ケニア,Kenya
コートジボワール,Coted'Ivoire
コスタリカ,CostaRica
コモロ,Comoros
コロンビア,Colombia
コンゴ共和国,Congo
サウジアラビア,SaudiArabia
サモア,Samoa
サントメ・プリンシペ,SaoTomeandPrincipe
ザンビア,Zambia
サンマリノ,SanMarino
シエラレオネ,SierraLeone
ジブチ,Djibouti
ジャマイカ,Jamaica
シリア,SyrianArabRepublic
シンガポール,Singapore
ジンバブエ,Zimbabwe
スイス,Switzerland
スウェーデン,Sweden
スーダン,Sudan
スペイン,Spain
スリナム,Suriname
スリランカ,SriLanka
スロバキア,Slovakia
スロベニア,Slovenia
スワジランド,Swaziland
セーシェル,Seychelles
赤道ギニア,EquatorialGuinea
セネガル,Senegal
セントクリストファー・ネイビス,SaintKittsandNevis
セントビンセントおよびグレナディーン諸島,SaintVincentandtheGrenadines
セントルシア,SaintLucia
ソマリア,Somalia
ソロモン諸島,SolomonIslands
タイ,Thailand
大韓民国,RepublicofKorea
タジキスタン,Tajikistan
タンザニア,UnitedRepublicofTanzania
チェコ,CzechRepublic
チャド,Chad
中央アフリカ,CentralAfricanRepublic
中華人民共和国,China
チュニジア,Tunisia
朝鮮民主主義人民共和国,DemocraticPeople'sRepublicofKorea
チリ,Chile
ツバル,Tuvalu
デンマーク,Denmark
ドイツ,Germany
トーゴ,Togo
ドミニカ共和国,DominicanRepublic
ドミニカ国,Dominica
トリニダード・トバゴ,TrinidadandTobago
トルクメニスタン,Turkmenistan
トルコ,Turkey
トンガ,Tonga
ナイジェリア,Nigeria
ナウル,Nauru
ナミビア,Namibia
ニカラグア,Nicaragua
ニジェール,Niger
日本,Japan
ニュージーランド,NewZealand
ネパール,Nepal
ノルウェー,Norway
バーレーン,Bahrain
ハイチ,Haiti
パキスタン,Pakistan
バチカン市国,HolySee(VaticanCityState)
パナマ,Panama
バヌアツ,Vanuatu
バハマ,Bahamas
パプアニューギニア,PapuaNewGuinea
パラオ,Palau
パラグアイ,Paraguay
バルバドス,Barbados
ハンガリー,Hungary
バングラデシュ,Bangladesh
フィジー,Fiji
フィリピン,Philippines
フィンランド,Finland
ブータン,Bhutan
ブラジル,Brazil
フランス,France
ブルガリア,Bulgaria
ブルキナファソ,BurkinaFaso
ブルネイ,BruneiDarussalam
ブルンジ,Burundi
ベトナム,VietNam
ベナン,Benin
ベネズエラ,Venezuela
ベラルーシ,Belarus
ベリーズ,Belize
ペルー,Peru
ベルギー,Belgium
ポーランド,Poland
ボスニア・ヘルツェゴビナ,BosniaandHerzegovina
ボツワナ,Botswana
ボリビア,Bolivia
ポルトガル,Portugal
ホンジュラス,Honduras
マーシャル諸島,MarshallIslands
マケドニア,theformerYugoslavRepublicofMacedonia
マダガスカル,Madagascar
マラウイ,Malawi
マリ,Mali
マルタ,Malta
マレーシア,Malaysia
ミクロネシア連邦,FederatedStatesofMicronesia
南アフリカ,SouthAfrica
ミャンマー,Myanmar
メキシコ,Mexico
モーリシャス,Mauritius
モーリタニア,Mauritania
モザンビーク,Mozambique
モナコ,Monaco
モルディブ,Maldives
モルドバ,RepublicofMoldova
モロッコ,Morocco
モンゴル,Mongolia
ヨルダン,Jordan
ラオス,LaoPeople'sDemocraticRepublic
ラトビア,Latvia
リトアニア,Lithuania
リビア,LibyanArabJamahiriya
リヒテンシュタイン,Liechtenstein
リベリア,Liberia
ルーマニア,Romania
ルクセンブルク,Luxembourg
ルワンダ,Rwanda
レソト,Lesotho
レバノン,Lebanon
ロシア,RussianFederation

